"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"8486","59.805790","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","499","88","48","48\302\265s","","QoS Data, SN=499, FN=0, Flags=.p.....TC"
"8488","59.806397","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3086","88","112","47\302\265s","","QoS Data, SN=3086, FN=0, Flags=.p....F.C"
"8494","59.815757","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","500","205","48","56\302\265s","","QoS Data, SN=500, FN=0, Flags=.p.....TC"
"8496","59.816222","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3087","205","112","54\302\265s","","QoS Data, SN=3087, FN=0, Flags=.p....F.C"
"8652","61.853938","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","501","88","48","48\302\265s","","QoS Data, SN=501, FN=0, Flags=.p.....TC"
"8656","61.863358","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","291","502","205","48","56\302\265s","","QoS Data, SN=502, FN=0, Flags=.p.....TC"
"8658","61.863836","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","291","3097","205","112","54\302\265s","","QoS Data, SN=3097, FN=0, Flags=.p....F.C"
"8679","61.881641","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","503","88","48","48\302\265s","","QoS Data, SN=503, FN=0, Flags=.p.....TC"
"8681","61.881930","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3098","88","112","47\302\265s","","QoS Data, SN=3098, FN=0, Flags=.p....F.C"
"8689","61.890233","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","504","173","48","56\302\265s","","QoS Data, SN=504, FN=0, Flags=.p.....TC"
"8691","61.890746","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","3100","173","112","54\302\265s","","QoS Data, SN=3100, FN=0, Flags=.p....F.C"
"8708","61.898920","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","505","88","48","48\302\265s","","QoS Data, SN=505, FN=0, Flags=.p.....TC"
"8710","61.899413","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3101","88","112","47\302\265s","","QoS Data, SN=3101, FN=0, Flags=.p....F.C"
"8715","61.905323","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","259","506","173","48","54\302\265s","","QoS Data, SN=506, FN=0, Flags=.p.....TC"
"8717","61.905784","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","259","3102","173","112","54\302\265s","","QoS Data, SN=3102, FN=0, Flags=.p....F.C"
"8745","61.934842","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","170","507","88","48","35\302\265s","","QoS Data, SN=507, FN=0, Flags=.p.....TC"
"8746","61.934898","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","174","508","88","48","7\302\265s","","QoS Data, SN=508, FN=0, Flags=.p.....TC"
"8748","61.935245","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3103","88","112","47\302\265s","","QoS Data, SN=3103, FN=0, Flags=.p....F.C"
"8750","61.935356","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","802.11","174","3104","88","112","47\302\265s","","QoS Data, SN=3104, FN=0, Flags=.p....F.C"
"9250","66.920063","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","243","509","157","48","54\302\265s","","QoS Data, SN=509, FN=0, Flags=.p.....TC"
"9252","66.920176","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","78:44:76:db:82:78","f8:ff:c2:53:b6:ab","802.11","170","510","88","48","35\302\265s","","QoS Data, SN=510, FN=0, Flags=.p.....TC"
