"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"7369","46.990586","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3772","173","48","54\302\265s","","QoS Data, SN=3772, FN=0, Flags=.p.....TC"
"7379","47.106672","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1194","173","112","54\302\265s","","QoS Data, SN=1194, FN=0, Flags=.p....F.C"
"7399","47.121857","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3773","88","48","47\302\265s","","QoS Data, SN=3773, FN=0, Flags=.p.....TC"
"7401","47.122315","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1195","88","112","47\302\265s","","QoS Data, SN=1195, FN=0, Flags=.p....F.C"
"7509","49.137004","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3778","173","48","56\302\265s","","QoS Data, SN=3778, FN=0, Flags=.p.....TC"
"7516","49.154780","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1196","173","112","54\302\265s","","QoS Data, SN=1196, FN=0, Flags=.p....F.C"
"7538","49.170821","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3779","88","48","48\302\265s","","QoS Data, SN=3779, FN=0, Flags=.p.....TC"
"7540","49.171273","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1197","88","112","47\302\265s","","QoS Data, SN=1197, FN=0, Flags=.p....F.C"
"7770","51.189031","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3794","173","48","54\302\265s","","QoS Data, SN=3794, FN=0, Flags=.p.....TC"
"7777","51.304989","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1198","173","112","54\302\265s","","QoS Data, SN=1198, FN=0, Flags=.p....F.C"
"7797","51.321570","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3795","88","48","47\302\265s","","QoS Data, SN=3795, FN=0, Flags=.p.....TC"
"7799","51.321934","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1199","88","112","47\302\265s","","QoS Data, SN=1199, FN=0, Flags=.p....F.C"
"7884","53.337874","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3811","173","48","54\302\265s","","QoS Data, SN=3811, FN=0, Flags=.p.....TC"
"8056","55.491035","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3819","173","48","54\302\265s","","QoS Data, SN=3819, FN=0, Flags=.p.....TC"
"8064","55.606635","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1203","173","112","54\302\265s","","QoS Data, SN=1203, FN=0, Flags=.p....F.C"
"8085","55.622118","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3820","88","48","47\302\265s","","QoS Data, SN=3820, FN=0, Flags=.p.....TC"
"8087","55.622575","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1204","88","112","47\302\265s","","QoS Data, SN=1204, FN=0, Flags=.p....F.C"
