"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1965","15.801539","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2168","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2168, FN=0, Flags=.p....F.C"
"1966","15.801849","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2168","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2168, FN=0, Flags=.p..R.F.C"
"1967","15.802639","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2168","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2168, FN=0, Flags=.p..R.F.C"
"1969","15.807295","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2168","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2168, FN=0, Flags=.p..R.F.C"
"2056","16.823566","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","143","2941","80","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2941, FN=0, Flags=.p.....TC"
"2058","16.823902","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","166","2169","80","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2169, FN=0, Flags=.p....F.C"
"2134","17.807139","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2942","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2942, FN=0, Flags=.p.....TC"
"2141","17.847608","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2170","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2170, FN=0, Flags=.p....F.C"
"2161","17.861971","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2943","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2943, FN=0, Flags=.p.....TC"
"2163","17.862302","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2171","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2171, FN=0, Flags=.p....F.C"
"2335","19.869234","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2945","173","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2945, FN=0, Flags=.p.....TC"
"2337","19.869572","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2173","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2173, FN=0, Flags=.p....F.C"
"2357","19.892737","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2946","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2946, FN=0, Flags=.p.....TC"
"2359","19.893073","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","2174","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2174, FN=0, Flags=.p....F.C"
"2678","21.950649","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","2186","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2186, FN=0, Flags=.p....F.C"
"2701","22.062157","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2948","88","48","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2948, FN=0, Flags=.p.....TC"
